"Date","Site.Name","RiverMile","RiverKM","Temperature.C.Daily","Turbidity.FNU.Daily","Season","Year"
2004-04-04,"Below_LCR",66,NA,10.3672916666667,NA,"spring","2004"
2004-04-04,"Diamond",225,NA,12.7489583333333,NA,"spring","2004"
2004-04-04,"Glen_Canyon_Dam",-16,NA,9.12555555555556,NA,"spring","2004"
2004-04-04,"LCR",NA,1,18.190625,NA,"spring","2004"
2004-04-04,"Lee's_Ferry",0,NA,9.21555555555556,NA,"spring","2004"
2004-04-04,"National",167,NA,11.96,NA,"spring","2004"
2004-04-04,"Phantom",88,NA,10.9258333333333,NA,"spring","2004"
2004-04-04,"Spencer",246,NA,12.9732291666667,NA,"spring","2004"
2004-04-05,"30-mile",30,NA,9.69375,NA,"spring","2004"
2004-04-05,"Above_LCR",61,NA,9.95020833333333,NA,"spring","2004"
2004-04-05,"Below_LCR",66,NA,10.2689583333333,NA,"spring","2004"
2004-04-05,"Diamond",225,NA,12.9891666666667,NA,"spring","2004"
2004-04-05,"Glen_Canyon_Dam",-16,NA,9.06777777777778,NA,"spring","2004"
2004-04-05,"LCR",NA,1,17.7175,NA,"spring","2004"
2004-04-05,"Lee's_Ferry",0,NA,9.32975694444444,NA,"spring","2004"
2004-04-05,"National",167,NA,12.106875,NA,"spring","2004"
2004-04-05,"Phantom",88,NA,10.6444791666667,NA,"spring","2004"
2004-04-05,"Spencer",246,NA,13.2194791666667,NA,"spring","2004"
2004-04-06,"30-mile",30,NA,9.70739583333333,NA,"spring","2004"
